ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
US1912161007,CCC3,"COCA-COLA CO.      DL-,25",Common stock,EUR,2506461,2020-12-07,15:33,43.525,43.535,43.525,43.535,152,2
IE00BKX55Q28,VMID,VANGUARD FTSE 250UETF LSD,ETF,EUR,2749234,2020-12-07,15:33,34.51,34.51,34.51,34.51,100,1
DE0005408116,ARL,AAREAL BANK AG,Common stock,EUR,2504927,2020-12-07,15:33,21.42,21.46,21.42,21.46,4225,5
DE000A2GS5D8,DMP,DERMAPHARM HLDG INH O.N.,Common stock,EUR,2984169,2020-12-07,15:33,53.9,53.9,53.88,53.88,212,5
DE0005470405,LXS,LANXESS AG,Common stock,EUR,2504935,2020-12-07,15:33,59.42,59.44,59.42,59.44,175,6
IE00BKM4GZ66,IS3N,IS C.MSCI EMIMI U.ETF DLA,ETF,EUR,2505427,2020-12-07,15:33,28.587,28.587,28.579,28.579,67,3
DE000A1TNUT7,DBAN,DT.BETEILIG.AG   NA O.N.,Common stock,EUR,2504519,2020-12-07,15:33,33.65,33.65,33.65,33.65,4,1
DE000A0HN5C6,DWNI,DEUTSCHE WOHNEN SE INH,Common stock,EUR,2504314,2020-12-07,15:33,42.06,42.06,42.03,42.03,1173,6
DE0008232125,LHA,LUFTHANSA AG VNA O.N.,Common stock,EUR,2505130,2020-12-07,15:33,10.05,10.05,10.05,10.05,250,1
IE00B6R52036,IS0E,ISV-GOLD.PROD.U.ETF DLA,ETF,EUR,2505739,2020-12-07,15:33,13,13,13,13,86,1
DE000A13SX22,HLE,HELLA GMBH+CO. KGAA O.N.,Common stock,EUR,2504580,2020-12-07,15:33,48.04,48.04,48.04,48.04,187,2
LU1673108939,AT1,"AROUNDTOWN EO-,01",Common stock,EUR,2653294,2020-12-07,15:33,6.226,6.228,6.226,6.228,370,2
IE00B14X4S71,IUSU,IS DL T.BD1-3YR U.ETF DLD,ETF,EUR,2505602,2020-12-07,15:33,110.815,110.815,110.815,110.815,1,1
DE0005552004,DPW,DEUTSCHE POST AG NA O.N.,Common stock,EUR,2504953,2020-12-07,15:33,39.34,39.35,39.34,39.35,3510,6
DE0006202005,SZG,SALZGITTER AG O.N.,Common stock,EUR,2505016,2020-12-07,15:33,18.985,18.985,18.97,18.98,826,9
DE0006766504,NDA,AURUBIS AG,Common stock,EUR,2505060,2020-12-07,15:33,67.14,67.16,67.1,67.1,702,6
IE0032077012,EQQQ,IMIII-I.EQ.NA.-100- D,ETF,EUR,2505799,2020-12-07,15:33,254,254,254,254,118,2
DE000ETFL276,EL41,DK MSCI USA MC,ETF,EUR,2504703,2020-12-07,15:33,20.24,20.24,20.24,20.24,100,1
US02376R1023,A1G,AMERICAN AIRLINES GRP,Common stock,EUR,4581991,2020-12-07,15:33,14.136,14.136,14.11,14.11,75,2
DE000A161408,HFG,HELLOFRESH SE  INH O.N.,Common stock,EUR,2759535,2020-12-07,15:33,47.1,47.1,47.06,47.06,957,6
US88160R1014,TL0,"TESLA INC. DL -,001",Common stock,EUR,2506575,2020-12-07,15:33,515.3,515.6,515.1,515.1,63,3
DE0006632003,MOR,MORPHOSYS AG O.N.,Common stock,EUR,2505055,2020-12-07,15:33,90.94,91.06,90.94,91.06,866,15
GB00BH4HKS39,VODI,VODAFONE GROUP PLC,Common stock,EUR,2505354,2020-12-07,15:33,1.4546,1.4546,1.4546,1.4546,1755,1
DE000ZAL1111,ZAL,ZALANDO SE,Common stock,EUR,2504863,2020-12-07,15:33,78.86,78.86,78.8,78.82,735,8
DE0006450000,LPK,LPKF LASER+ELECTRON.,Common stock,EUR,2505039,2020-12-07,15:33,24.1,24.1,24.1,24.1,71,1
GB0009895292,ZEG,"ASTRAZENECA PLC    DL-,25",Common stock,EUR,2505384,2020-12-07,15:33,89.15,89.15,89.15,89.15,802,4
DE000ENAG999,EOAN,E.ON SE NA O.N.,Common stock,EUR,2504666,2020-12-07,15:33,8.98,8.984,8.978,8.984,7243,7
IE00BL25JN58,XDEB,X(IE)-MSCI WO.MI.VO. 1CDL,ETF,EUR,2505448,2020-12-07,15:33,29.25,29.25,29.245,29.245,574,3
DE0005810055,DB1,DEUTSCHE BOERSE NA O.N.,Common stock,EUR,2504978,2020-12-07,15:33,135.65,135.65,135.65,135.65,115,2
DE0007664039,VOW3,VOLKSWAGEN AG VZO O.N.,Common stock,EUR,2505114,2020-12-07,15:33,143.96,144.04,143.96,144.04,658,13
NL0000235190,AIR,AIRBUS,Common stock,EUR,2506257,2020-12-07,15:33,95.29,95.29,95.26,95.26,304,2
DE0007037129,RWE,RWE AG   INH O.N.,Common stock,EUR,2505072,2020-12-07,15:33,33.84,33.87,33.84,33.87,2948,10
DE000A2GS633,AEIN,ALLGEIER SE  NA O.N.,Common stock,EUR,2696230,2020-12-07,15:33,86.4,86.4,85.8,85.8,1244,9
DE0005773303,FRA,FRAPORT AG FFM.AIRPORT,Common stock,EUR,2504970,2020-12-07,15:33,51.1,51.1,51.1,51.1,339,1
DE0005157101,HNL,DR. HOENLE AG O.N.,Common stock,EUR,2504893,2020-12-07,15:33,55.1,55.1,55.1,55.1,70,1
DE0005557508,DTE,DT.TELEKOM AG NA,Common stock,EUR,2504954,2020-12-07,15:33,15.17,15.17,15.17,15.17,9007,7
